年,年齢,年齢区分,年収（万円）,年収（円）,月例賃金（円）,年間賞与相当額（円）,所得税（円）,住民税（円）,厚生年金（円）,健康保険（円）,介護保険（円）,雇用保険（円）,社会保険料総額（円）,控除総額（円）,名目手取り（円）,実効負担率（%）,手取り率（%）,手取り（100円あたり）,所得税（100円あたり）,住民税（100円あたり）,厚生年金（100円あたり）,健康保険（100円あたり）,介護保険（100円あたり）,雇用保険（100円あたり）,性別,扶養人数,給与所得のみ
1997,45,40～64歳,1150,11500000.0,744964.5837901472,2560424.994518234,1228000.0,712500.0,626992.0,381181.2,0.0,46000.0,1054173.2,2994673.2,8505326.8,26.04063652173913,73.95936347826087,73.95936347826087,10.678260869565218,6.195652173913044,5.452104347826086,3.314619130434783,0.0,0.4,男性,0,True
1997,45,40～64歳,1200,12000000.0,777354.3483027623,2671747.820366853,1318600.0,780400.0,627548.0,401434.8,0.0,48000.0,1076982.8,3175982.8,8824017.2,26.46652333333333,73.53347666666666,73.53347666666666,10.988333333333333,6.503333333333333,5.229566666666666,3.34529,0.0,0.4,男性,0,True
1997,45,40～64歳,1250,12500000.0,809744.1128153773,2783070.646215472,1413000.0,851200.0,628105.0,401769.0,0.0,50000.0,1079874.0,3344074.0,9155926.0,26.752591999999996,73.24740800000001,73.24740800000001,11.304,6.8096000000000005,5.02484,3.214152,0.0,0.4,男性,0,True
1997,45,40～64歳,1300,13000000.0,842133.8773279925,2894393.4720640895,1520100.0,919000.0,628661.0,422022.6,0.0,52000.0,1102683.6,3541783.6,9458216.399999999,27.244489230769236,72.75551076923077,72.75551076923077,11.693076923076925,7.069230769230771,4.835853846153847,3.2463276923076925,0.0,0.4000000000000001,男性,0,True
1997,45,40～64歳,1350,13500000.0,874523.6418406076,3005716.2979127085,1654200.0,986100.0,629218.0,447256.8,0.0,54000.0,1130474.8,3770774.8,9729225.2,27.931665185185185,72.0683348148148,72.0683348148148,12.253333333333332,7.304444444444444,4.660874074074075,3.313013333333333,0.0,0.4,男性,0,True
1997,45,40～64歳,1400,14000000.0,906913.4063532227,3117039.123761329,1788300.0,1053100.0,629775.0,472491.0,0.0,56000.0,1158266.0,3999666.0,10000334.0,28.569042857142858,71.43095714285714,71.43095714285714,12.77357142857143,7.522142857142858,4.498392857142857,3.3749357142857144,0.0,0.4,男性,0,True
1997,45,40～64歳,1450,14500000.0,939303.1708658377,3228361.9496099465,1929900.0,1123900.0,630331.0,472824.6,0.0,58000.0,1161155.6,4214955.6,10285044.4,29.068659310344824,70.93134068965517,70.93134068965517,13.309655172413793,7.75103448275862,4.347110344827587,3.2608593103448276,0.0,0.4,男性,0,True
1997,45,40～64歳,1500,15000000.0,971692.9353784529,3339684.7754585654,2064300.0,1191100.0,630888.0,498058.8,0.0,60000.0,1188946.8,4444346.8,10555653.2,29.628978666666665,70.37102133333333,70.37102133333333,13.761999999999999,7.940666666666667,4.20592,3.320392,0.0,0.4,男性,0,True
1998,35,20～39歳,200,2000000.0,130955.12139568069,428538.5432518316,24000.0,31900.0,141636.0,69625.2,0.0,8000.0,219261.2,275161.2,1724838.7999999998,13.758060000000002,86.24194,86.24194,1.2000000000000002,1.5950000000000002,7.0818,3.4812600000000007,0.0,0.4,男性,0,True
1998,35,20～39歳,250,2500000.0,163693.90174460088,535673.1790647896,54700.0,45000.0,169238.0,83206.8,0.0,10000.0,262444.8,362144.8,2137855.2,14.485792,85.514208,85.514208,2.188,1.7999999999999998,6.76952,3.328272,0.0,0.4,男性,0,True
1998,35,20～39歳,300,3000000.0,196432.68209352106,642807.8148777473,83200.0,57100.0,211414.0,103928.4,0.0,12000.0,327342.4,467642.4,2532357.6,15.588080000000001,84.41192000000001,84.41192000000001,2.7733333333333334,1.9033333333333333,7.047133333333333,3.46428,0.0,0.4,男性,0,True
1998,35,20～39歳,350,3500000.0,229171.46244244123,749942.4506907054,114800.0,70500.0,232769.0,114449.4,0.0,14000.0,361218.4,546518.4,2953481.6,15.614811428571429,84.38518857142857,84.38518857142857,3.2800000000000002,2.0142857142857142,6.650542857142858,3.2699828571428573,0.0,0.4,男性,0,True
1998,35,20～39歳,400,4000000.0,261910.24279136138,857077.0865036632,147300.0,84300.0,274945.0,135171.0,0.0,16000.0,426116.0,657716.0,3342283.9999999995,16.4429,83.55709999999999,83.55709999999999,3.6825000000000006,2.1075000000000004,6.873625000000001,3.3792750000000003,0.0,0.4,男性,0,True
1998,35,20～39歳,450,4500000.0,294649.02314028156,964211.7223166213,180800.0,108700.0,317121.0,155892.6,0.0,18000.0,491013.6,780513.6,3719486.4,17.344746666666666,82.65525333333333,82.65525333333333,4.017777777777778,2.4155555555555557,7.047133333333333,3.46428,0.0,0.4,男性,0,True
1998,35,20～39歳,500,5000000.0,327387.80348920176,1071346.358129579,217500.0,139900.0,338476.0,166413.6,0.0,20000.0,524889.6,882289.6,4117710.4,17.645792,82.354208,82.354208,4.35,2.798,6.76952,3.328272,0.0,0.4,男性,0,True
